title,date,top_keywords
"트위니, 컬리 평택 물류센터서 ‘나르고 오더피킹’ 기술실증",2025-06-13 12:50:00,"['컬리', '트위', '물류', '영석', '평택']"
"브릴스-에이치케이텍, 자동차 생산 로봇 시스템 시장 확대 파트너십",2025-06-13 12:49:00,"['브릴스', '로봇', '에이치', '케이', '자동차']"
"라이드플럭스, 한양대와 '웨이모 챌린지' 자율주행 부문 세계 3위 입상",2025-06-13 12:47:00,"['주행', '자율', '라이드', '플럭스', '린지']"
"네이버, 모로코 AI 데이터센터 구축 참여…“유럽으로 AI·클라우드 확장”",2025-06-13 12:44:00,"['네이버', '모로코', '유럽', '넥서스', '이드']"
"루닛, 이슬람 최대 종교행사 '하지'에 AI 의료 지원",2025-06-13 12:42:00,"['루닛', '사우디', '병원', '의료', '검진']"
"""삼성, 로봇 AI 확보 위해 스킬드 AI에 투자 계획""",2025-06-13 12:40:00,"['로봇', '스킬', '투자', '삼성', '스타트업']"
"노타, 온디바이스 AI 최적화 기술로 소니 칩셋 기반 ‘스마트 교통’ 구현",2025-06-13 11:39:00,"['노타', '소니', '보행자', '스마트', '비용']"
"[6월12일] '메타 AGI 팀' 이끌 스케일 AI CEO는 ""알트먼 같은 인물""",2025-06-13 07:00:00,"['메타', '스케일', '입하', '저커버그', '알트']"
46년된 체스 게임에서 완전히 패배한 챗GPT,2025-06-13 07:00:00,"['예주', '타임스', '힙합', '베타', '베이퍼웨어']"
"메타, 월드모델 ‘V-제파 2’ 공개...""로봇 공학 새 시대 열 것""",2025-06-12 19:05:00,"['제파', '예측', '로봇', '물리', '물체']"
젠슨 황 “2년 내 유럽 데이터센터 10배 이상 증가”…유럽 확장 본격 선언,2025-06-12 19:05:00,"['유럽', '엔비디아', '인프라', '프랑스', '클라우드']"
"엔비디아, 클라우드 서비스 시장 진출...MS·AWS까지 '공급 업체' 합류",2025-06-12 19:05:00,"['클라우드', '엔비디아', '렙톤', '서버', '업체']"
챗GPT도 '생존 본능' 보여...다른 소프트웨어로 교체 거부,2025-06-12 19:05:00,"['자신', '교체', '실험', '안전', '보존']"
"디즈니·유니버설, 저작권 침해로 미드저니 고소...""스타워즈·심슨가족 도용해""",2025-06-12 19:05:00,"['미드', '저니', '디즈니', '컴캐스트', '저작권']"
"머스크 ""텍사스서 로보택시 22일 출시...안전에 만전 기할 것""",2025-06-12 19:00:00,"['택시', '로보', '운행', '테슬라', '오스틴']"
"애플, '시리' 출시 지연 해명으로 진땀...""가짜 데모 시연한 것 아니야""",2025-06-12 19:00:00,"['애플', '페더', '리기', '부사', '인터뷰']"
"코어위브, 오픈AI-구글 협력의 핵심 컴퓨팅 인프라 공급자로 부상",2025-06-12 19:00:00,"['코어위브', '계약', '클라우드', '협력', '컴퓨팅']"
미국서 기업용 모듈형 AI 컴퓨팅 장치 등장...월 68만원으로 5명 사용,2025-06-12 19:00:00,"['노드', '레모니', '타임', '로컬', '레모']"
"[AI&빅데이터쇼] ""국내 제조 AI 도입은 아직 초기…가격·보안 해결로 기술 확대할 것""",2025-06-12 18:33:00,"['제조', '셀프', '비용', '동국', '중소기업']"
"[AI&빅데이터쇼] 포티투마루, AI산업계 인사이트 공유 위한 미니 토크쇼 연달아 개최",2025-06-12 18:16:00,"['토론', '포티', '마루', '주제', '업계']"
"[AI&빅데이터쇼] 티벨·두루이디에스, ‘SW 품질검사’ AI 자동화 솔루션 공개",2025-06-12 18:05:00,"['품질', '티벨', '두루', '에스', '티맵']"
[AI&빅데이터쇼] 워트인텔리전스 “AI 기반 특허 검색으로 산업 동향 파악 가능”,2025-06-12 17:45:00,"['특허', '검색', '워트', '키워트', '인텔리전스']"
"[AI&빅데이터쇼] 엠아이큐브솔루션, 인공지능산업대상 장관상 수상",2025-06-12 17:40:00,"['큐브', '아이', '제조', '고장', '예측']"
"[AI&빅데이터쇼] 셀파스, AI 기반 ‘기업 자산 관리 솔루션’ 소개",2025-06-12 17:37:00,"['파스', '자산', '결제', '엑셀', '심플']"
[AI&빅데이터쇼] 펀진 “기관 협업으로 단기간 내 ‘국방AI 솔루션’ 성능 극대화”,2025-06-12 16:28:00,"['국방', '펀진', '상무', '임성준', '판별']"
"KT-팔란티어, AX 촉진 위한 인력 양성·마케팅 방안 협의",2025-06-12 15:18:00,"['티어', '고객', '라이언', '안창용', '테일러']"
"[AI&빅데이터쇼] 퀘벡AI연구소 “알고리즘 편향의 피해, 한국도 예외는 아닐 것”",2025-06-12 15:14:00,"['빈칸', '나디', '파르', '정성', '문장']"
"예술기획자협회-예술영재교육연구원, 학술 콜로키움 개최...'가르치는 AI, 배우는 인간'",2025-06-12 14:33:00,"['예술', '아티스트', '콜로', '위상', '감각']"
"렛서-LG AI연구원, 전략적 파트너십…""엑사원 기반 기업 맞춤형 AI 실증""",2025-06-12 14:04:00,"['엑사', '렛서', '심규현', '배경훈', '실증']"
[AI&빅데이터쇼] 상용화된 ‘온디바이스 AI’…로봇·키오스크·PC 등 등장,2025-06-12 13:54:00,"['페르소나', '오스', '디바이스', '튜터', '이스트소프트']"
"스냅태그, ‘스마트테크코리아’서 비가시성 워터마크 보안 기술 ‘랩가드’ 시연",2025-06-12 13:37:00,"['스냅', '가드', '태그', '워터마크', '보안']"
"솔트룩스, AI 경력직 대규모 채용",2025-06-12 13:35:00,"['솔트룩스', '채용', '경력', '인재', '이경일']"
"디토닉, AI 기술로 말레이시아 ‘스마트시티’ 실증 사업 진행",2025-06-12 13:25:00,"['토닉', '주차', '쿠알라룸푸르', '말레이시아', '시티']"
"네이버 “AI 검색 확대로 '버티컬 에이전트' 진화할 것""",2025-06-12 13:20:00,"['검색', '네이버', '브리핑', '리더', '노출']"
"삼성 'SSC-24', 전 세계 슈퍼컴 성능 순위서 18위 데뷔",2025-06-12 13:11:00,"['순위', '슈퍼컴퓨터', '차지', '캐피', '연산']"
"이스트에이드, 포털 ‘줌’에 폴라리스 오피스 웹 오피스 제공",2025-06-12 12:11:00,"['폴라리스', '오피스', '이스트', '포털', '이드']"
"에이딘로보틱스, 산자부 ‘AI 팩토리 전문기업’ 선정",2025-06-12 12:08:00,"['로봇', '센서', '팩토리', '로보틱스', '선정']"
"삼성전자, ‘제11회 대학생 프로그래밍 챌린지’ 참가자 모집",2025-06-12 11:00:00,"['린지', '예선', '삼성', '대학생', '전자']"
"[6월11일] 알트먼 ""챗GPT, 이미 인간 넘어서...초지능은 천천히 성장""",2025-06-12 07:00:00,"['특이점', '인간', '모티프', '우리', '점진']"
"피차이 구글 CEO, AI의 현재 단계는 ‘AJI’?",2025-06-12 07:00:00,"['예주', '타임스', '힙합', '베타', '베이퍼웨어']"
"오픈AI, 컴퓨팅 용량 확보 위해 '경쟁자' 구글과 손잡아",2025-06-11 19:05:00,"['클라우드', '수확', '컴퓨팅', '경쟁', '계약']"
"미스트랄, 유럽 최초 AI 추론 모델 출시...""수학 능력 딥시크 앞서""",2025-06-11 19:05:00,"['지스트', '미스트랄', '미디엄', '모델', '추론']"
